name,type,parent,extant
Life,life,,
Bacteria,domain,Life,
Archaea,domain,Life,
Eukaryota,domain,Life,
Animalia,kingdom,Eukaryota,
Amoebae,kingdom,Eukaryota,
Plantae,kingdom,Eukaryota,
Chromaleveolata,kingdom,Eukaryota,
Rhizaria,kingdom,Eukaryota,
Excavata,kingdom,Eukaryota,
Parazoa,subkingdom,Animalia,
Eumetazoa,subkingdom,Animalia,
Radiata,unranked,Eumetazoa,
Bilateria,unranked,Eumetazoa,
Orthonectida,phylum,Bilateria,
Rhombozoa,phylum,Bilateria,
Acoelomorpha,phylum,Bilateria,
Chaetognatha,phylum,Bilateria,
Deuterostomia,superphylum,Bilateria,
Protostomia,unranked,Bilateria,
Chordata,phylum,Deuterostomia,
Hemichordata,phylum,Deuterostomia,
Echinodermata,phylum,Deuterostomia,
Xenoturbellida,phylum,Deuterostomia,
Vetulicolia,phylum,Deuterostomia,0
Tunicata,subphylum,Chordata,
Cephalochordata,subphylum,Chordata,
Vertebrata,subphylum,Chordata,
incerta sedis,infraphylum,Vertebrata,
Gnathostomata,infraphylum,Vertebrata,
incerta sedis,superclass,Gnathostomata,
Osteichthyes,superclass,Gnathostomata,
Tetrapoda,superclass,Gnathostomata,
Amphibia,class,Tetrapoda,
Reptilia,class,Tetrapoda,
Synapsida,class,Tetrapoda,
Aves,class,Tetrapoda,
Mammalia,class,Tetrapoda,
Ausktribosphenida,order,Mammalia,0
Monotremata,order,Mammalia,
Eutriconodonta,order,Mammalia,0
Gobiconodonta,order,Mammalia,0
Multituberculata,order,Mammalia,0
Theria,subclass,Mammalia,
Metatheria,infraclass,Theria,
Eutheria,infraclass,Theria,
Xenarthra,order,Eutheria,
Insectivora,order,Eutheria,
Scandentia,order,Eutheria,
Dermoptera,order,Eutheria,
Chiroptera,order,Eutheria,
Primates,order,Eutheria,
Carnivora,order,Eutheria,
Cetacea,order,Eutheria,
Sirenia,order,Eutheria,
Proboscidea,order,Eutheria,
Perissodactyla,order,Eutheria,
Hyracoidea,order,Eutheria,
Tubulidentata,order,Eutheria,
Artiodactyla,order,Eutheria,
Pholidota,order,Eutheria,
Rodentia,order,Eutheria,
Lagomorpha,order,Eutheria,
Macroscelidea,order,Eutheria,
Daubentoniidae,family,Primates,
Lemuridae,family,Primates,
Lepilemuridae,family,Primates,
Galagidae,family,Primates,
Lorisidae,family,Primates,
Cheirogaleidae,family,Primates,
Indriidae,family,Primates,
Tarsiidae,family,Primates,
Cercopithecidae,family,Primates,
Hominidae,family,Primates,
Hylobatidae,family,Primates,
Callitrichidae,family,Primates,
Cebidae,family,Primates,
Ponginae,subfamily,Hominidae,
Homininae,subfamily,Hominidae,
Gorillini,tribe,Homininae,
Hominini,tribe,Homininae,
Panina,subtribe,Hominini,
Hominina,subtribe,Hominini,
Homo,genus,Hominina,
Homo sapiens,species,Homo,
Homo gautengensis,species,Homo,0
Homo habilis,species,Homo,0
Homo erectus,species,Homo,0
Homo antecessor,species,Homo,0
Homo ergaster,species,Homo,0
Homo rhodensiensis,species,Homo,0
Homo heidelbergensis,species,Homo,0
Homo neanderthalensis,species,Homo,0
Homo floresiensis,species,Homo,0
Denisova hominin,species,Homo,0
Homo sapiens sapiens,subspecies,Homo sapiens,
Homo sapiens idaltu,subspecies,Homo sapiens,0